65890|2014|ford|shelby|mustang|blue|10009|50000.00
65891|2016|chevrolet|lt|camaro|red|22015|38500.00
65892|2018|dodge|srt|charger|black|17540|42000.00
65893|2015|nissan|nismo|370z|white|30400|28999.00
65894|2020|toyota|trd|tundra|gray|15230|45950.00
65895|2013|bmw|m|3|328i|silver|88000|17999.00
65896|2017|honda|type-r|civic|red|41200|34995.00
65897|2019|mercedes|amg|c63|black|12800|67900.00
65898|2012|jeep|rubicon|wrangler|green|96500|21950.00
65899|2021|tesla|performance|model3|white|6300|55990.00
